"x","y","NVC_Class","CDL_Class","CDLYear","State","ncells_tile"
1042620,1123710,7974,37,"2017","AL",1198509
1027320,1123680,7974,176,"2017","AL",1198509
1042590,1123680,7978,37,"2017","AL",1198509
1027320,1123650,7974,176,"2017","AL",1198509
1027290,1123440,7974,176,"2017","AL",1198509
1039950,1123320,7974,37,"2017","AL",1198509
1035780,1123290,7974,37,"2017","AL",1198509
1037730,1123170,7978,37,"2017","AL",1198509
1026270,1123140,7974,176,"2017","AL",1198509
1026300,1123140,7974,176,"2017","AL",1198509
1037700,1123140,7978,37,"2017","AL",1198509
1026960,1122900,7974,176,"2017","AL",1198509
1024710,1122090,7974,121,"2017","AL",1198509
1026360,1121910,7974,121,"2017","AL",1198509
1037550,1119810,7970,37,"2017","AL",1198509
1037580,1119810,7970,37,"2017","AL",1198509
1037700,1119660,7974,37,"2017","AL",1198509
1037700,1119630,7974,37,"2017","AL",1198509
1037760,1119600,7974,37,"2017","AL",1198509
1037790,1119600,7974,37,"2017","AL",1198509
1037820,1119600,7974,61,"2017","AL",1198509
1037850,1119600,7970,61,"2017","AL",1198509
1015920,1118730,7974,176,"2017","AL",1198509
1042020,1118370,7974,37,"2017","AL",1198509
1016640,1118250,7974,131,"2017","AL",1198509
1016670,1118250,7974,131,"2017","AL",1198509
1029060,1118220,7974,176,"2017","AL",1198509
1016490,1118190,7974,176,"2017","AL",1198509
1029060,1118190,7974,176,"2017","AL",1198509
1016490,1118160,7974,176,"2017","AL",1198509
1029060,1118160,7974,176,"2017","AL",1198509
1016670,1117950,7974,176,"2017","AL",1198509
1029180,1117800,7974,176,"2017","AL",1198509
1027140,1117740,7974,37,"2017","AL",1198509
1038300,1117530,7970,37,"2017","AL",1198509
1026720,1117200,7974,176,"2017","AL",1198509
1028910,1117080,7974,176,"2017","AL",1198509
1026720,1116960,7974,37,"2017","AL",1198509
1037700,1116420,7974,37,"2017","AL",1198509
1017360,1116390,7970,152,"2017","AL",1198509
1028640,1115910,7974,176,"2017","AL",1198509
1014240,1114950,7974,37,"2017","AL",1198509
1033200,1114290,7974,37,"2017","AL",1198509
1033260,1114260,7974,37,"2017","AL",1198509
1033230,1114200,7974,37,"2017","AL",1198509
1028910,1113960,7974,176,"2017","AL",1198509
1027290,1113810,7974,37,"2017","AL",1198509
1029000,1113360,7974,37,"2017","AL",1198509
1029030,1113360,7974,37,"2017","AL",1198509
1034670,1113330,7974,37,"2017","AL",1198509
1034670,1113300,7974,37,"2017","AL",1198509
1018170,1113150,7974,176,"2017","AL",1198509
1019820,1113000,7974,61,"2017","AL",1198509
1019850,1112970,7974,37,"2017","AL",1198509
1020420,1112460,7974,176,"2017","AL",1198509
1014090,1111920,7974,61,"2017","AL",1198509
1016370,1110960,7974,61,"2017","AL",1198509
1016430,1110960,7974,61,"2017","AL",1198509
1025520,1107480,7974,152,"2017","AL",1198509
