VALUE,CLASS_NAME,GROUP,NVC_Match1,NVC_Match2,NVC_Match3,NVC_Match4,NVC_Classes
33,Safflower,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
34,Rape Seed,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
35,Mustard,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
36,Alfalfa,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
37,Other Hay/Non Alfalfa,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
38,Camelina,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
39,Buckwheat,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
41,Sugarbeets,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
42,Dry Beans,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
43,Potatoes,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
44,Other Crops,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
45,Sugarcane,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
46,Sweet Potatoes,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
47,Misc Vegs & Fruits,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
48,Watermelons,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
49,Onions,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
50,Cucumbers,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
51,Chick Peas,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
52,Lentils,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
53,Peas,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
54,Tomatoes,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
55,Caneberries,A,,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
56,Hops,A,Row Crop - Close Grown Crop,,,,
57,Herbs,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
58,Clover/Wildflowers,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
59,Sod/Grass Seed,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
60,Switchgrass,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
61,Fallow/Idle Cropland,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
63,Forest,N,,,,,
65,Barren,N,,,,,
66,Cherries,A,Orchard,,,,
67,Peaches,A,Orchard,,,,
68,Apples,A,Orchard,,,,
69,Grapes,A,Vineyard,,,,
70,Christmas Trees,A,Orchard,,,,
71,Other Tree Crops,A,Orchard,,,,
72,Citrus,A,Orchard,,,,
74,Pecans,A,Orchard,,,,
75,Almonds,A,Orchard,,,,
76,Walnuts,A,Orchard,,,,
77,Pears,A,Orchard,,,,
81,Clouds/No Data,O,,,,,
82,Developed,D,,,,,
83,Water,O,,,,,
87,Wetlands,N,,,,,
88,Nonag/Undefined,O,,,,,
92,Aquaculture,A,Aquaculture,,,,
111,Open Water,O,Aquaculture,,,,
112,Perennial Ice/Snow,O,,,,,
121,Developed/Open Space,D,,,,,
122,Developed/Low Intensity,D,,,,,
123,Developed/Med Intensity,D,,,,,
124,Developed/High Intensity,D,,,,,
131,Barren,N,,,,,
141,Deciduous Forest,N,,,,,
142,Evergreen Forest,N,,,,,
143,Mixed Forest,N,,,,,
152,Shrubland,N,,,,,
176,Grass/Pasture,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
190,Woody Wetlands,N,,,,,
195,Herbaceous Wetlands,N,,,,,
204,Pistachios,A,Orchard,,,,
205,Triticale,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
206,Carrots,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
207,Asparagus,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
208,Garlic,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
209,Cantaloupes,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
210,Prunes,A,Orchard,,,,
211,Olives,A,Orchard,,,,
212,Oranges,A,Orchard,,,,
213,Honeydew Melons,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
214,Broccoli,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
215,Avocados,A,Orchard,,,,
216,Peppers,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
217,Pomegranates,A,Orchard,,,,
218,Nectarines,A,Orchard,,,,
219,Greens,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
220,Plums,A,Orchard,,,,
221,Strawberries,A,,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
222,Squash,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
223,Apricots,A,Orchard,,,,
224,Vetch,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
225,Dbl Crop WinWht/Corn,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
226,Dbl Crop Oats/Corn,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
227,Lettuce,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
228,Dbl Crop Triticale/Corn,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
229,Pumpkins,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
230,Dbl Crop Lettuce/Durum Wht,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
231,Dbl Crop Lettuce/Cantaloupe,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
232,Dbl Crop Lettuce/Cotton,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
233,Dbl Crop Lettuce/Barley,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
234,Dbl Crop Durum Wht/Sorghum,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
235,Dbl Crop Barley/Sorghum,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
236,Dbl Crop WinWht/Sorghum,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
237,Dbl Crop Barley/Corn,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
238,Dbl Crop WinWht/Cotton,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
239,Dbl Crop Soybeans/Cotton,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
240,Dbl Crop Soybeans/Oats,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
241,Dbl Crop Corn/Soybeans,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
242,Blueberries,A,Bush fruit and berries,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
243,Cabbage,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
244,Cauliflower,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
245,Celery,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
246,Radishes,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
247,Turnips,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
248,Eggplants,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
249,Gourds,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
250,Cranberries,A,Bush fruit and berries,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
254,Dbl Crop Barley/Soybeans,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
,,,,,,,
